Campaign,Ad group,Keyword,Match type,Status
PF9 - Property Comparisons,Buildium,buildium alternative,Exact,Paused
PF9 - Property Comparisons,Buildium,alternative to buildium,Phrase,Paused
PF9 - Property Comparisons,Buildium,buildium pricing,Phrase,Paused
PF9 - Property Comparisons,Buildium,buildium per unit fee,Phrase,Paused
PF9 - Property Comparisons,Buildium,buildium vs,Phrase,Paused
PF9 - Property Comparisons,Buildium,cheaper than buildium,Phrase,Paused
PF9 - Property Comparisons,Buildium,buildium replacement,Phrase,Paused
PF9 - Property Comparisons,Buildium,buildium for small landlord,Phrase,Paused
PF9 - Property Comparisons,Buildium,buildium 50 units,Phrase,Paused
PF9 - Property Comparisons,Buildium,buildium competitor,Phrase,Paused
PF9 - Property Comparisons,AppFolio,appfolio alternative,Exact,Paused
PF9 - Property Comparisons,AppFolio,appfolio under 50 units,Exact,Paused
PF9 - Property Comparisons,AppFolio,appfolio 50 unit minimum,Phrase,Paused
PF9 - Property Comparisons,AppFolio,appfolio for small landlord,Phrase,Paused
PF9 - Property Comparisons,AppFolio,appfolio pricing,Phrase,Paused
PF9 - Property Comparisons,AppFolio,alternative to appfolio,Phrase,Paused
PF9 - Property Comparisons,AppFolio,appfolio competitor,Phrase,Paused
PF9 - Property Comparisons,AppFolio,cheaper than appfolio,Phrase,Paused
PF9 - Property Comparisons,AppFolio,appfolio core minimum,Phrase,Paused
PF9 - Property Comparisons,DoorLoop,doorloop alternative,Exact,Paused
PF9 - Property Comparisons,DoorLoop,doorloop pricing,Phrase,Paused
PF9 - Property Comparisons,DoorLoop,doorloop pro pricing,Phrase,Paused
PF9 - Property Comparisons,DoorLoop,doorloop 10 unit cap,Phrase,Paused
PF9 - Property Comparisons,DoorLoop,doorloop vs,Phrase,Paused
PF9 - Property Comparisons,DoorLoop,alternative to doorloop,Phrase,Paused
PF9 - Property Comparisons,DoorLoop,doorloop competitor,Phrase,Paused
PF9 - Property Comparisons,DoorLoop,cheaper than doorloop,Phrase,Paused
PF9 - Property Comparisons,DoorLoop,doorloop monthly billing,Phrase,Paused
PF9 - Manufacturing Comparisons,MRPeasy,mrpeasy alternative,Exact,Paused
PF9 - Manufacturing Comparisons,MRPeasy,alternative to mrpeasy,Phrase,Paused
PF9 - Manufacturing Comparisons,MRPeasy,mrpeasy pricing per user,Phrase,Paused
PF9 - Manufacturing Comparisons,MRPeasy,mrpeasy vs,Phrase,Paused
PF9 - Manufacturing Comparisons,MRPeasy,mrp software no per user fee,Phrase,Paused
PF9 - Manufacturing Comparisons,MRPeasy,cheaper than mrpeasy,Phrase,Paused
PF9 - Manufacturing Comparisons,MRPeasy,mrpeasy competitor,Phrase,Paused
PF9 - Manufacturing Comparisons,MRPeasy,mrpeasy starter pricing,Phrase,Paused
PF9 - Manufacturing Comparisons,Katana,katana mrp alternative,Exact,Paused
PF9 - Manufacturing Comparisons,Katana,katana mrp pricing,Phrase,Paused
PF9 - Manufacturing Comparisons,Katana,katana vs,Phrase,Paused
PF9 - Manufacturing Comparisons,Katana,alternative to katana mrp,Phrase,Paused
PF9 - Manufacturing Comparisons,Katana,katana mrp per user,Phrase,Paused
PF9 - Manufacturing Comparisons,Katana,katana mrp competitor,Phrase,Paused
PF9 - Manufacturing Comparisons,Katana,cheaper than katana mrp,Phrase,Paused
PF9 - Manufacturing Comparisons,Katana,katana standard pricing,Phrase,Paused
PF9 - Manufacturing Comparisons,Fishbowl,fishbowl inventory alternative,Exact,Paused
PF9 - Manufacturing Comparisons,Fishbowl,fishbowl pricing,Phrase,Paused
PF9 - Manufacturing Comparisons,Fishbowl,fishbowl quickbooks alternative,Phrase,Paused
PF9 - Manufacturing Comparisons,Fishbowl,fishbowl vs,Phrase,Paused
PF9 - Manufacturing Comparisons,Fishbowl,alternative to fishbowl inventory,Phrase,Paused
PF9 - Manufacturing Comparisons,Fishbowl,fishbowl competitor,Phrase,Paused
PF9 - Manufacturing Comparisons,Fishbowl,cheaper than fishbowl,Phrase,Paused
PF9 - Manufacturing Comparisons,Fishbowl,fishbowl manufacturing pricing,Phrase,Paused
